sub_category_id,sub_category_name,belongs_to_categories
442,Transmission Components,Driveline and Axles;Engine;HVAC;Transmission
443,Kitchen and Dining,"Household, Shop and Office Products"
444,Pumps,"Air and Fuel Delivery;Body;Electrical, Lighting and Body;Engine;Suspension"
445,"Clothing, Shoes, Jewelry and Accessories","Household, Shop and Office Products"
446,Bed and Bath,"Household, Shop and Office Products"
447,Food and Drink,"Accessories;Household, Shop and Office Products"
448,Office Supplies,"Household, Shop and Office Products;Vehicles, Equipment, Tools, and Supplies"
449,Storage and Organization,"Accessories;Body;Electrical, Charging and Starting;Household, Shop and Office Products"
450,Fresh Water Pump and Related Components,Plumbing
451,Bushings,"Air and Fuel Delivery;Belts and Cooling;Body;Brake;Driveline and Axles;Electrical, Charging and Starting;Electrical, Lighting and Body;Emission Control;Engine;Entertainment and Telematics;Exhaust;HVAC;Hardware and Service Supplies;Ignition;Steering;Suspension;Tire and Wheel;Transfer Case;Transmission;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
452,Paint and Coatings,"Body;Oil, Fluids and Chemicals;Vehicles, Equipment, Tools, and Supplies"
453,Conditioners and Protectants,"Oil, Fluids and Chemicals"
454,Cleaners and Removers,"Oil, Fluids and Chemicals"
455,Sports and Outdoors,"Household, Shop and Office Products"
456,Underhood Accessories,"Accessories;Electrical, Lighting and Body"
457,Exterior Accessories,Accessories;Body
458,Interior Accessories,"Accessories;Electrical, Lighting and Body;Entertainment and Telematics;Plumbing"
459,Sleeper Cab,Body
460,Appliances,"Household, Shop and Office Products;Plumbing"
461,Electronics and Toys,"Entertainment and Telematics;Household, Shop and Office Products"
463,Travel Accessories,"Household, Shop and Office Products"
464,"Cleaning Tools, Equipment and Supplies","Vehicles, Equipment, Tools, and Supplies"
465,Marine Vehicles and Equipment,"Transmission;Vehicles, Equipment, Tools, and Supplies"
467,Industrial Equipment and Accessories,"Vehicles, Equipment, Tools, and Supplies"
468,Construction Equipment and Accessories,"Vehicles, Equipment, Tools, and Supplies"
469,Agricultural Equipment,"Vehicles, Equipment, Tools, and Supplies"
470,Powersport Vehicles,"Vehicles, Equipment, Tools, and Supplies"
471,Medium and Heavy Duty Vehicles,"Suspension;Vehicles, Equipment, Tools, and Supplies"
472,Light Duty Vehicles,"Vehicles, Equipment, Tools, and Supplies"
473,Power Generation Equipment,"Vehicles, Equipment, Tools, and Supplies"
474,Power Take Off Unit (PTU) and Components,Driveline and Axles
475,Pet Supplies and Accessories,"Household, Shop and Office Products"
476,Underbody,Tire and Wheel
477,"Welding Equipment, Tools and Accessories","Vehicles, Equipment, Tools, and Supplies"
478,"Safety Equipment, Tools and Accessories","Accessories;Household, Shop and Office Products;Vehicles, Equipment, Tools, and Supplies;Wiper and Washer"
479,"Paint Equipment, Tools and Accessories","Vehicles, Equipment, Tools, and Supplies"
480,"Tow, Hoist and Lift Tools and Accessories","Accessories;Vehicles, Equipment, Tools, and Supplies"
481,"Power, Air, and Hand Tools and Accessories","Vehicles, Equipment, Tools, and Supplies"
482,Outdoor Cooking,"Household, Shop and Office Products"
483,Foot Controls,Brake
