ebay_id,ebay_name,ebay_path
33650,Running Boards & Step Bars,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Running Boards & Step Bars
33651,Roof Racks & Cross Bars,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Racks & Cargo Carriers|Roof Racks & Cross Bars
33653,Trailer Hitches,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Towing Parts & Accessories|Trailer Hitches
33654,Body Moldings & Trims,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Body Moldings & Trims
33655,Truck Bed Accessories,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Truck Beds & Parts|Truck Bed Accessories
33656,Hatches & Trunk Lids,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Doors, Trunk Lids & Hatches|Hatches & Trunk Lids"
33659,Air Filters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Air Filters
33660,Fuel Filters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Fuel Filters
33661,Oil Filters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Oil Filters
33662,Transmission Filters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Transmission Filters
33665,Gaskets & Seals,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Gaskets, Seals & Hardware|Gaskets & Seals"
33666,Exhaust Gaskets,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exhaust & Emission Systems|Exhaust Gaskets
33668,"Gaskets, Seals & O-Rings","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Gaskets, Seals & O-Rings"
33675,Instrument Clusters,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Gauges|Instrument Clusters
33684,Auto Glass,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Glass & Window Parts|Auto Glass
33685,"Window Seals, Gaskets & Trims","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Exterior Parts & Accessories|Glass & Window Parts|Window Seals, Gaskets & Trims"
33690,Distributors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Ignition Systems & Components|Distributors
33691,Ignition Kits,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Ignition Systems & Components|Ignition Kits
33692,Ignition Wires & Coil Boots,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Ignition Systems & Components|Ignition Wires & Coil Boots
33696,Door Panels,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Door Panels
33697,"Floor Mats, Carpets & Cargo Liners","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Floor Mats, Carpets & Cargo Liners"
33698,"Glove Boxes, Doors & Latches","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Dash Panels & Glove Boxes|Glove Boxes, Doors & Latches"
33699,Rear View Mirrors,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Rear View Mirrors
33700,"Pedal Assemblies, Pads & Parts","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Pedal Assemblies, Pads & Parts"
33701,Seats,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Seats, Parts & Accessories|Seats"
33702,Seat Covers,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Seats, Parts & Accessories|Seat Covers"
33704,Steering Wheels & Horn Buttons,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Steering Wheels & Horn Buttons
33705,Trim,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Trim
33706,Window Motors & Regulators,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Window Motors & Regulators
33708,Park & Combination Light Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Park & Combination Light Assemblies
33709,Fog Light Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Fog Light Assemblies
33710,Headlight Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Headlight Assemblies
33712,Interior Light Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Interior Light Assemblies
33715,Side Marker Light Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Side Marker Light Assemblies
33716,Tail Light Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Tail Light Assemblies
33717,Turn Signal Light Assemblies,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Lighting & Lamps|Turn Signal Light Assemblies
33725,Seat Belts & Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Interior Parts & Accessories|Interior Safety|Seat Belts & Parts
33727,Automatic Transmission Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Automatic Transmission Parts
33728,Axle Housings & Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Axle Housings & Parts
33729,"CV Joints, Boots & Parts","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|CV Joints, Boots & Parts"
33732,Flywheels & Flexplates,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Flywheels & Flexplates
33733,Manual Transmission Parts,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Manual Transmission Parts
33736,"Shifters, Cables & Linkages","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Transmission & Drivetrain|Shifters, Cables & Linkages"
33741,Superchargers & Parts,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Turbos, Superchargers & Intercoolers|Superchargers & Parts"
33742,Turbos & Parts,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Turbos, Superchargers & Intercoolers|Turbos & Parts"
33744,Wheel Hub Caps & Trim Rings,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Wheels, Tires & Parts|Wheel Hub Caps, Center Caps & Trim Rings|Wheel Hub Caps & Trim Rings"
33746,Other Tire Accessories,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Wheels, Tires & Parts|Wheel & Tire Accessories|Other Tire Accessories"
33747,Valve Stems & Caps,"eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Wheels, Tires & Parts|Valve Stems & Caps"
33749,"Wheel Nuts, Bolts & Studs","eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Wheels, Tires & Parts|Wheel Nuts, Bolts & Studs"
36474,Intake Manifolds,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Air & Fuel Delivery|Intake Manifolds
38657,Oil Pans,eBay Motors|Parts & Accessories|Car & Truck Parts & Accessories|Engines & Engine Parts|Oil Pans
